"x","y","z","xy","xz","yz","x^2","y^2","z^2"
-11.636216018574,-5.05568104607996,37.2375869992079,58.8289967731964,-433.304606333225,-188.261362793649,135.401523230917,25.5599108396922,1386.63788552358
-10.9781625213246,-3.93021865748763,36.832874646961,43.1465791662412,-404.357284001913,-144.761251146389,120.520052344615,15.4466186956638,1356.66065475874
-10.2733681349409,-2.9212291368645,36.2821304480378,30.0108623295246,-372.739682812639,-105.988416612327,105.542092836018,8.53357967006611,1316.39298984843
-9.53815423513323,-2.04116309515291,35.6147155927187,19.4689284206304,-339.698650363755,-72.6954431122241,90.97638621319,4.16634678101419,1268.40796675024
-8.7884551211352,-1.29444814640113,34.8596791277858,11.376199441283,-306.362725551719,-45.1240470311005,77.2369434162075,1.67559600372132,1215.19722889219
-8.03905442366179,-0.678643843337785,34.043849678791,5.45565479087546,-273.680360358762,-23.1036489880285,64.6263960265963,0.46055746610028,1158.98370095212
-7.30301336562939,-0.185989039942088,33.1905702352653,1.35828044455765,-242.391178041004,-6.17308229318745,53.3340042185615,0.0345919229785796,1101.61395254208
-6.59131093306066,0.194938888491142,32.3190711667705,-1.28490282699036,-213.0250471279,6.30024381031637,43.445379816285,0.038001170246162,1044.52236108278
-5.91268595090548,0.477672909628246,31.4443802407201,-2.82432990188708,-185.920745284235,15.0201286010417,34.9598551540351,0.228171408592715,988.749048722986
-5.27365006485211,0.676551567120783,30.577620135282,-3.56789621582231,-161.255668409453,20.687336821349,27.8113850065146,0.457722022973588,934.990853137603
-4.67862990165482,0.805720717385515,29.7265379695162,-3.76966904074264,-139.079469416856,23.9512874981864,21.8895777566586,0.649185874424229,883.667059653091
-4.13019483975079,0.878441831916871,28.8961335999217,-3.62813592120429,-119.346661883146,25.3835725348299,17.058509414304,0.771660052061468,834.986537024525
-3.62933117258402,0.906669477298942,28.0892886780451,-3.29060379719151,-101.94533101494,25.4677006834223,13.1720447602901,0.822049541065537,789.008138438553
-3.17573110759572,0.900843364351832,27.307334941992,-2.8608362952433,-86.7207530408196,24.5996314806264,10.0852680677512,0.811518767096727,745.690541634136
-2.76807366040097,0.869837750989707,26.5505309805864,-2.40777496733702,-73.4938254770212,23.0946541557358,7.66223178940562,0.756617713046831,704.93069535108
-2.4042825192619,0.821017003337751,25.8184390714308,-1.97395682914174,-62.0748217340694,21.1973774772844,5.78057443242835,0.6740689197697,666.591796085182
-2.08175256700194,0.760355945251735,25.1102077945679,-1.58287294086298,-52.2732395342936,19.0926957831061,4.33369375021915,0.57814116347966,630.522535486376
-1.79754171577657,0.692594062381612,24.4247735239707,-1.24496671923011,-43.9045493077325,16.9164531177177,3.23115621995697,0.479686535246265,596.569561697262
-1.54852813796075,0.621401934417682,23.7609965628059,-0.962258380429021,-36.7945717634936,14.7651292278195,2.39793939405619,0.386140364098037,564.584957657673
-1.33153513072291,0.549545754079431,23.1177474039934,-0.731739477496374,-30.7820928115956,12.7042599297454,1.77298580434927,0.30200053582673,534.430245034846
-1.14342704224267,0.479041388052178,22.493956745112,-0.547748877452327,-25.720198429398,10.7755362619641,1.30742540093183,0.229480651466957,505.978090050969
-0.981180199213189,0.411293386637688,21.8886404098011,-0.403552927036234,-21.4767005577945,9.00265304304167,0.962714583328032,0.169162249891899,479.11257898958
-0.841932840628101,0.347217002569564,21.3009078029361,-0.292333397287767,-17.9339338144833,7.3960373593461,0.708850908128103,0.120559646873393,453.728673229184
-0.723017856308334,0.287342975312833,20.7299602608849,-0.207754102035943,-14.988131429182,5.95660845947945,0.522754820540699,0.0825659854616311,429.731252417868
-0.621981773146218,0.23190586008519,20.1750837795743,-0.144241218058785,-12.5485343825931,4.67872015619295,0.386861326126113,0.0537803279418519,407.034005512842
-0.536593009823077,0.180917248829329,19.6356391332717,-0.09707893107824,-10.5363467023221,3.55242581099702,0.287932058190989,0.0327310509239732,385.558324172072
-0.464841983957836,0.134225500613794,19.111051300407,-0.06239364800305,-8.88361900200119,2.56519042805304,0.216078070049857,0.0180164850150237,365.232281806789
-0.404935235500673,0.0915636801194741,18.6007993292495,-0.0370773603724876,-7.5321190568904,1.70315763974993,0.163972544949986,0.00838390751702139,345.989735687008
-0.355285343938659,0.0525873679469949,18.1044072401991,-0.0186835211078769,-6.43223055313968,0.952063125002588,0.126227675617611,0.00276543126759263,327.769561518974
-0.314498072750093,0.0169039034960973,17.621436211916,-0.00531624507147617,-5.5419077277363,0.297871057188864,0.0989090377635229,0.000285741953405371,310.515014170626
-0.281357875125474,-0.0159055186315268,17.1514780838142,0.00447514292493501,-4.82570342892311,-0.27280315422033,0.0791622538951219,0.000252985522937845,294.17320045956
-0.254812639476079,-0.0462696341911131,16.6941500863418,0.0117900876158302,-4.25388044731057,-0.772432217626573,0.0649294812367664,0.00214087904817943,278.694647105305
-0.233958338947583,-0.0746156724293986,16.2490906515822,0.017456958781039,-3.80161025825286,-1.21243682533406,0.054736504363112,0.00556749857209131,264.032947003334
-0.218024072295764,-0.101361748027899,15.8159561371278,0.0220993010800597,-3.44825916426778,-1.60313296079185,0.0475344961004287,0.0102742039632713,250.14446853155
-0.206357839868978,-0.126912279147756,15.3944182998152,0.0261893437777797,-3.17675890638932,-1.95374071258347,0.0425835580753907,0.016106726598478,236.988114789684
